subject_id,label,pc1_mean,pc2_mean
2,0,0.07491592906415462,-0.3029243653267622
8,0,0.008743189312517642,-0.04646195812150836
11,0,0.004366083843633533,-0.13361019203439356
28,0,0.03475748061449552,-0.16459246340911
35,0,0.07489118831775461,-0.21292992339779934
36,0,0.07197125680977479,-0.10876156700154145
46,0,0.04521815092302859,-0.11662456319667398
56,0,0.05817541441659337,-0.2034435419308156
57,0,0.05923792694441297,-0.009172545266196583
59,0,0.051713920866299154,-0.018464948304674843
60,0,0.02051987387239933,-0.01662720013409853
69,0,0.03030312731862068,-0.025657003021074667
73,0,0.02084733871743083,-0.09779312319122255
80,0,-0.015561520347766804,0.1467193409123204
83,0,0.048239409886300565,-0.0031241199653595686
84,0,0.03614189589069676,-0.1404623232743482
88,0,0.018924829627697665,0.11139908304903656
94,0,0.0037619131058454513,0.09557090856134892
213,1,0.17983368691056967,-0.5557788978982717
214,1,0.08216690613577764,-0.3308209832569565
216,1,0.14169275108724833,-0.4236409884714891
219,1,0.1094519180804491,-0.41672429293394087
236,1,0.11334543654695153,-0.3263578692823648
237,1,0.08138935419730842,-0.2778341787401587
238,1,0.049282204236227034,-0.2944407378019271
244,1,0.09725247181363796,-0.22730549354302257
246,1,0.12275034230088397,-0.32087501320911915
252,1,0.24468744464218617,-0.7053383333794773
255,1,0.030584779204800724,-0.17976154094561936
268,1,0.12627315812401083,-0.3640390174365357
269,1,0.09308149380609393,-0.3262052423413843
274,1,0.08982278713956475,-0.3926914704032242
278,1,0.1358582708604073,-0.6465116949171148
279,1,0.1045471741259098,-0.38353323224931957
282,1,0.1621775114070624,-0.579325709361583
284,1,0.07750197675079107,-0.39287546163424847
285,1,0.06917924270965159,-0.24040072058172277
290,1,0.06763561680912972,-0.22581207441166043
297,1,0.1178474775806535,-0.42943523409970413
302,1,0.12095722354017198,-0.4247543177567422
0,0,0.03289878970943391,0.036050965385511516
1,0,-0.10773243254981935,0.011883539045229555
3,0,-0.05100604735314846,0.0024781504180282354
4,0,-0.05164433072664236,0.03438230411786782
6,0,0.03500311886891723,0.030214873813092707
7,0,0.027058649845421313,0.07306377921253443
13,0,0.4618434919025369,0.08168768896056074
21,0,0.10310978474095464,0.03084583492949605
22,0,0.15054486730521677,0.06014723792634528
24,0,0.14824956423602997,-0.0004928157757967711
25,0,0.24768133830279113,0.020562620954588055
29,0,0.022980897960187208,-0.020580768905053237
32,0,0.06063920461572707,0.015024817371740938
40,0,0.052870205650576436,0.025883707057948065
49,0,0.046615928246562056,0.00031264771435720223
55,0,-0.0559429797743048,0.004364517621924074
65,0,0.17277352010831237,0.024506103470921515
71,0,-0.1377957903407514,0.00734529796987772
77,0,-6.717909127473831e-06,0.012657853364944458
79,0,0.004374610108076309,0.034243596100001314
89,0,0.12801316503435373,0.016698521161451936
90,0,0.10746190594019074,0.032861780865412006
97,0,0.23111865995451808,0.021321363244205714
101,0,0.06826469715684652,0.022219512267038225
205,1,0.45350418540865484,0.07360178792867998
215,1,0.41754796044901016,0.013770961044356227
217,1,0.15133968515321614,0.05739454553462565
222,1,0.42159534574543334,0.040209140314967654
231,1,0.27813115681521594,0.046412885189056396
241,1,0.28471090783160635,0.023246240643102947
245,1,0.22380848520435392,0.01667992614209652
247,1,0.22547658765688539,0.015217900797724724
249,1,0.6047851086780429,0.05296885713003576
270,1,0.3101254842643227,0.05410414542622712
271,1,0.6202896579799025,0.011298374122366159
276,1,0.26150482350188975,0.10264286347147492
281,1,0.21678398214280606,0.041992712896317244
283,1,0.29120311799730797,0.05645676797333484
292,1,0.5305206613615155,0.07031800780445337
298,1,0.2715345879271627,0.0007723260577768088
9,0,0.04978903859853744,0.03109153182245791
17,0,0.16977186949923634,0.05916161054745316
19,0,-0.09203494631807611,0.018869434172908466
20,0,-0.010880628737964129,0.003271909558067196
31,0,-0.05088286226634512,0.00806546770996347
34,0,-0.044084537932649256,-0.007836939925327897
37,0,0.19381661139428616,0.006518235635012388
39,0,-0.029814977943897248,-0.020306664808756775
41,0,-0.04312073610572502,0.004429464200229356
43,0,0.1279211035743356,0.043188021779060365
44,0,-0.006998328374291973,0.01928805779323153
50,0,-0.08238539567236046,-0.0018218132206285842
53,0,-0.21984407025379965,0.014252722667850028
54,0,-0.006673392906938631,0.036629907623624676
62,0,0.03287693396286697,-0.04595471278061064
81,0,-0.3641267305798829,-0.005735643869265914
82,0,-0.29513073302805426,-0.004736611694097519
86,0,-0.2036241066455841,0.024884880986064672
91,0,0.1963892629928887,0.046379712857306
102,0,-0.2545598872564733,0.026623030826449394
203,1,0.34554646181873977,0.0640867455303669
204,1,0.43788684053080423,0.0009906648934542477
207,1,0.378588027023163,0.03550181962242446
211,1,0.3065669237263501,0.0171954152174294
212,1,0.48581213699653747,-0.03810987473465502
220,1,0.42433709785342216,0.007714953841641546
221,1,0.056628155652433634,0.01588145620189607
223,1,0.13376152589537052,0.05375208728471581
230,1,0.542203926918458,-0.00022704214123742922
232,1,0.32373886905384786,-0.02441981667182361
234,1,0.1001188189908862,0.05947215153835714
242,1,0.4222215908598535,0.03151371962942031
248,1,0.5161988353356719,0.08353331983089447
251,1,0.3657096126260831,-0.026123777147113662
264,1,0.5692397965764513,-0.028405089396983385
266,1,0.6526125273481012,0.07681339379400015
275,1,0.3225015481002629,0.04936913495883346
293,1,0.31378914952278136,0.059369022622704506
301,1,0.6776396059336103,0.03707416321398044
303,1,0.43617566328759144,0.06551951364698735
5,0,0.12111109303310513,0.0502964838501066
12,0,-0.09174024305306375,0.055335674816742536
16,0,0.019414476621896028,0.022909998893737793
23,0,-0.07085162183269858,0.03455015062354505
26,0,0.1610801461507979,0.09654779675579869
33,0,-0.04056741885840893,-0.01234628826379776
42,0,0.13571937894448638,0.050446047075092794
45,0,0.10609888062812388,0.05368265446275473
63,0,-0.014207366511833911,0.046194293954390654
64,0,0.18973701453069225,0.0835070932128777
66,0,0.21540641827941542,0.05771692982413853
68,0,-0.2014594854786992,0.022499130368232728
70,0,0.20975512488745152,0.014362715883180499
72,0,-0.08977163969539106,0.022793992813676597
85,0,0.01656493323855102,0.00036438737995922563
87,0,-0.19929633204825223,0.008035130677744745
95,0,0.05786474933847785,0.014733905205503106
99,0,-0.059753509055938306,0.010807792368085729
206,1,0.3302364650210648,0.06138068183579228
208,1,0.4095092284284076,0.0425701393954912
226,1,0.4282894481904805,0.042897596873808654
227,1,0.35025627464056014,-0.009327729087736871
228,1,0.20716983128339053,0.027969498364254834
229,1,0.19221792470663787,0.04673725261352956
239,1,0.39705950770527126,0.06228565233759582
240,1,0.38131851925305565,0.06715368782645281
250,1,0.4451905811826388,-0.00297815463684424
253,1,0.1772422013618052,0.029780409764498472
254,1,0.3078169528056275,0.060019346113984635
256,1,0.3906775850057602,0.1144828107394278
258,1,0.15981522209011018,0.045982884792611006
259,1,0.4118363378541683,0.06506098171612665
261,1,-0.03836303022690117,0.040481323963031175
262,1,0.13902865787036717,0.0292192436568439
265,1,0.26612192261350026,0.009303938924938767
267,1,0.5135660423338413,0.11374269593507051
273,1,0.27590208560228346,0.0334909241180867
287,1,0.6343381271604449,0.09598260012455284
291,1,-0.04071075179510646,-0.07174000728198072
299,1,0.32044159322977067,0.11716797333210707
