ablation,seed,metric,agg,ref,new,delta,class
mlp_attn,42,auc,mean,0.9414891098484849,0.9315593434343434,-0.00992976641414145,small
mlp_attn,42,auc,std,0.0218776854638821,0.04336263892374024,0.02148495345985814,FLAG
mlp_attn,42,acc,mean,0.8125000000000001,0.8312499999999999,0.018749999999999822,FLAG
mlp_attn,42,acc,std,0.06250000000000001,0.05694020986965188,-0.005559790130348137,small
mlp_attn,42,balanced_acc,mean,0.8217013888888889,0.8321180555555555,0.01041666666666663,FLAG
mlp_attn,42,balanced_acc,std,0.05986547020552116,0.056879235137745884,-0.0029862350677752753,small
mlp_attn,42,sen,mean,0.859375,0.784375,-0.07499999999999996,FLAG
mlp_attn,42,sen,std,0.13750557605147484,0.1498328420363371,0.012327265984862251,FLAG
mlp_attn,42,spe,mean,0.7840277777777778,0.8798611111111111,0.09583333333333333,FLAG
mlp_attn,42,spe,std,0.11386136184949755,0.11289155112237062,-0.0009698107271269296,noise
mlp_attn,42,f1,mean,0.8158120341770958,0.8127168696936139,-0.0030951644834819048,small
mlp_attn,42,f1,std,0.06968806553666525,0.08062056702420703,0.010932501487541782,FLAG
mlp_attn,1234,auc,mean,0.9424423926767677,0.9322948232323233,-0.010147569444444393,FLAG
mlp_attn,1234,auc,std,0.029671636442020886,0.037073833804185774,0.007402197362164888,small
mlp_attn,1234,acc,mean,0.85625,0.85,-0.006249999999999978,small
mlp_attn,1234,acc,std,0.05962120008855912,0.05590169943749476,-0.003719500651064356,small
mlp_attn,1234,balanced_acc,mean,0.8499368686868688,0.8602430555555555,0.010306186868686673,FLAG
mlp_attn,1234,balanced_acc,std,0.06694024230569313,0.04773066247031344,-0.019209579835379693,FLAG
mlp_attn,1234,sen,mean,0.8255681818181817,0.846875,0.021306818181818343,FLAG
mlp_attn,1234,sen,std,0.13705671407085765,0.14852358584644373,0.011466871775586085,FLAG
mlp_attn,1234,spe,mean,0.8743055555555556,0.8736111111111111,-0.000694444444444442,noise
mlp_attn,1234,spe,std,0.02525907427704611,0.10209041925520583,0.07683134497815972,FLAG
mlp_attn,1234,f1,mean,0.8396990529125681,0.8419053605100117,0.0022063075974436686,small
mlp_attn,1234,f1,std,0.0943305968336317,0.07128754476328972,-0.023043052070341977,FLAG
mlp_attn,2024,auc,mean,0.9387934027777778,0.9083909406565657,-0.030402462121212115,FLAG
mlp_attn,2024,auc,std,0.03102995319161223,0.06170665392844534,0.030676700736833113,FLAG
mlp_attn,2024,acc,mean,0.7875000000000001,0.73125,-0.05625000000000013,FLAG
mlp_attn,2024,acc,std,0.07603453162872775,0.13961442439805427,0.06357989276932652,FLAG
mlp_attn,2024,balanced_acc,mean,0.7970170454545455,0.7241477272727274,-0.07286931818181819,FLAG
mlp_attn,2024,balanced_acc,std,0.07092396858439394,0.1504053784671182,0.07948140988272427,FLAG
mlp_attn,2024,sen,mean,0.8252840909090909,0.8545454545454546,0.02926136363636367,FLAG
mlp_attn,2024,sen,std,0.21655760111866942,0.09141902436872165,-0.12513857674994777,FLAG
mlp_attn,2024,spe,mean,0.76875,0.59375,-0.17500000000000004,FLAG
mlp_attn,2024,spe,std,0.19985889119298367,0.35045371275526616,0.1505948215622825,FLAG
mlp_attn,2024,f1,mean,0.7828839869281046,0.7684492069737971,-0.01443477995430742,FLAG
mlp_attn,2024,f1,std,0.0983762843284652,0.1126556720340516,0.0142793877055864,FLAG
mlp_attn,2026,auc,mean,0.9442645202020202,0.9316508838383839,-0.012613636363636327,FLAG
mlp_attn,2026,auc,std,0.04198528353560107,0.03569360183691909,-0.006291681698681981,small
mlp_attn,2026,acc,mean,0.78125,0.83125,0.050000000000000044,FLAG
mlp_attn,2026,acc,std,0.05694020986965187,0.03697549864437259,-0.019964711225279277,FLAG
mlp_attn,2026,balanced_acc,mean,0.7713068181818181,0.8333964646464647,0.06208964646464654,FLAG
mlp_attn,2026,balanced_acc,std,0.06751269680861445,0.028057802849378935,-0.039454893959235515,FLAG
mlp_attn,2026,sen,mean,0.7613636363636364,0.8994318181818182,0.1380681818181818,FLAG
mlp_attn,2026,sen,std,0.23917687704374077,0.05655336012406612,-0.18262351691967466,FLAG
mlp_attn,2026,spe,mean,0.78125,0.7673611111111112,-0.01388888888888884,FLAG
mlp_attn,2026,spe,std,0.184877493221863,0.04540519732854869,-0.1394722958933143,FLAG
mlp_attn,2026,f1,mean,0.7543881284169853,0.8378048609988243,0.08341673258183901,FLAG
mlp_attn,2026,f1,std,0.11441894919615117,0.050870948621858786,-0.06354800057429238,FLAG
mlp_attn,7,auc,mean,0.9207607323232323,0.9328937815656566,0.01213304924242431,FLAG
mlp_attn,7,auc,std,0.04718792505438811,0.04017471512350541,-0.007013209930882704,small
mlp_attn,7,acc,mean,0.8125,0.7875,-0.025000000000000022,FLAG
mlp_attn,7,acc,std,0.0625,0.05153882032022075,-0.010961179679779248,FLAG
mlp_attn,7,balanced_acc,mean,0.798058712121212,0.7875473484848484,-0.010511363636363624,FLAG
mlp_attn,7,balanced_acc,std,0.0727478392149535,0.04511759084231815,-0.027630248372635342,FLAG
mlp_attn,7,sen,mean,0.8440340909090909,0.7480113636363637,-0.0960227272727272,FLAG
mlp_attn,7,sen,std,0.16350486943680134,0.1719224202052044,0.00841755076840306,small
mlp_attn,7,spe,mean,0.7520833333333332,0.8270833333333333,0.07500000000000007,FLAG
mlp_attn,7,spe,std,0.11904608960657752,0.11980525285274897,0.0007591632461714515,noise
mlp_attn,7,f1,mean,0.8050487735915743,0.765327380952381,-0.03972139263919339,FLAG
